Abla;37.14114;-2.780104
Abrucena;37.13305;-2.797098
Adra;36.74807;-3.022522
Albánchez;37.2871;-2.181163
Alboloduy;37.03319;-2.62175
Albox;37.38979;-2.147483
Alcolea;36.97449;-2.961038
Alcóntar;37.33585;-2.596944
Alcudia de Monteagud;37.23598;-2.266174
Alhabia;36.9893;-2.587667
Alhama de Almería;36.95742;-2.570075
Alicún;36.9663;-2.601994
Almería;36.84016;-2.467922
Almócita;37.00236;-2.790071
Alsodux;37.002;-2.594579
Antas;37.24516;-1.917543
Arboleas;37.35025;-2.074867
Armuña de Almanzora;37.34969;-2.411396
Bacares;37.26083;-2.454761
Bayárcal;37.03116;-2.996469
Bayarque;37.33091;-2.43566
Bédar;37.18964;-1.981898
Beires;37.012;-2.790928
Benahadux;36.92587;-2.455683
Benitagla;37.23124;-2.239107
Benizalón;37.21175;-2.241685
Bentarique;36.98652;-2.61942
Berja;36.84644;-2.949425
Canjáyar;37.00973;-2.739681
Cantoria;37.35259;-2.193626
Carboneras;36.99659;-1.895012
Castro de Filabres;37.18464;-2.439524
Chercos;37.26633;-2.257897
Chirivel;37.5956;-2.264839
Cóbdar;37.26199;-2.210223
Cuevas del Almanzora;37.29709;-1.881476
Dalías;36.82121;-2.870697
Ejido (El);36.77506;-2.812738
Enix;36.87704;-2.602107
Felix;36.86892;-2.657921
Fiñana;37.17101;-2.840678
Fines;37.35888;-2.262964
Fondón;36.97942;-2.858356
Gádor;36.95393;-2.492936
Gallardos (Los);37.16948;-1.940099
Garrucha;37.17925;-1.821901
Gérgal;37.1207;-2.538305
Huécija;36.96788;-2.611436
Huércal-Overa;37.39063;-1.943684
Huércal de Almería;36.88415;-2.435978
Illar;36.98504;-2.639302
Instinción;36.99316;-2.659945
Laroya;37.29667;-2.329601
Láujar de Andarax;36.99384;-2.88922
Líjar;37.29527;-2.219928
Lubrín;37.21585;-2.067055
Lucainena de las Torres;37.04179;-2.200706
Lúcar;37.39965;-2.427074
Macael;37.33229;-2.304892
María;37.7111;-2.165795
Mojácar;37.13995;-1.851328
Mojonera (La);36.75254;-2.688159
Nacimiento;37.10497;-2.64774
Níjar;36.96576;-2.20651
Ohanes;37.03723;-2.745168
Olula de Castro;37.17611;-2.476297
Olula del Río;37.35212;-2.298121
Oria;37.48503;-2.295018
Padules;36.99884;-2.773482
Partaloa;37.40604;-2.226434
Paterna del Río;37.02088;-2.953087
Pechina;36.91667;-2.440625
Pulpí;37.41183;-1.745502
Purchena;37.34855;-2.36155
Rágol;36.99564;-2.680989
Rioja;36.94406;-2.462424
Roquetas de Mar;36.76427;-2.614935
Santa Cruz de Marchena;37.0172;-2.603768
Santa Fe de Mondújar;36.97506;-2.530279
Senés;37.20457;-2.347544
Serón;37.34361;-2.508077
Sierro;37.32348;-2.398526
Somontín;37.39139;-2.389127
Sorbas;37.09841;-2.126351
Suflí;37.3382;-2.389523
Tabernas;37.04945;-2.392681
Taberno;37.46729;-2.076205
Tahal;37.22803;-2.28497
Terque;36.98359;-2.597233
Tíjola;37.34551;-2.439434
Tres Villas (Las);37.13334;-2.7
Turre;37.15225;-1.894899
Turrillas;37.03019;-2.264096
Uleila del Campo;37.18548;-2.203801
Urrácal;37.39732;-2.36507
Velefique;37.19375;-2.403687
Vélez-Blanco;37.69095;-2.095682
Vélez-Rubio;37.64802;-2.074232
Vera;37.24686;-1.868238
Viator;36.88963;-2.426541
Vícar;36.83145;-2.642515
Zurgena;37.34265;-2.039607
